stock_code,description,forecast_origin,target_month,model,forecast,sigma,sigma_source,n_residuals_product,z,safety_stock,target_inventory,uncertainty_ratio,abc_class,last_month_units,ma3_units,months_since_last_sale,product_age_months,status,run_id
10002,INFLATABLE POLITICAL GLOBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,A,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
10002R,ROBOT PENCIL SHARPNER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
10080,GROOVY CACTUS INFLATABLE,2011-11,2011-12,M2_gbm_poisson,50.246865,8.226354,product,17,1.645000,13.532353,64,0.163719,C,91,52.333333,1,24,Forecast,20260818T075922Z-deb02f
10109,BENDY COLOUR PENCILS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
10120,DOGGY RUBBER,2011-11,2011-12,M2_gbm_poisson,49.738208,31.366479,product,18,1.645000,51.597857,102,0.630631,C,49,23.000000,1,24,Forecast,20260818T075922Z-deb02f
10123C,HEARTS WRAPPING TAPE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
10123G,ARMY CAMO WRAPPING TAPE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-11,2011-12,M2_gbm_poisson,7.829304,6.738565,product,16,1.645000,11.084940,19,0.860685,C,4,1.333333,1,21,Forecast,20260818T075922Z-deb02f
10124G,ARMY CAMO BOOKCOVER TAPE,2011-11,2011-12,M2_gbm_poisson,8.840760,8.181876,product,18,1.645000,13.459187,23,0.925472,C,4,2.666667,1,19,Forecast,20260818T075922Z-deb02f
10125,MINI FUNKY DESIGN TAPES,2011-11,2011-12,M2_gbm_poisson,55.967204,80.444393,product,18,1.645000,132.331027,189,1.437349,B,62,107.666667,1,24,Forecast,20260818T075922Z-deb02f
10133,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,25.560982,70.513494,product,18,1.645000,115.994697,142,2.758638,B,0,69.000000,3,24,Forecast,20260818T075922Z-deb02f
10134,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
10135,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,84.757657,68.701164,product,18,1.645000,113.013414,198,0.810560,A,181,106.666667,1,24,Forecast,20260818T075922Z-deb02f
