stock_code,description,forecast_origin,target_month,model,prediction,lag_1,rolling_mean_3,abc_class,is_active,status
10080,GROOVY CACTUS INFLATABLE,2011-11,2011-12,M2_gbm_poisson,50.246865,91,52.333333,C,True,Forecast
10120,DOGGY RUBBER,2011-11,2011-12,M2_gbm_poisson,49.738208,49,23.000000,C,True,Forecast
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-11,2011-12,M2_gbm_poisson,7.829304,4,1.333333,C,True,Forecast
10124G,ARMY CAMO BOOKCOVER TAPE,2011-11,2011-12,M2_gbm_poisson,8.840760,4,2.666667,C,True,Forecast
10125,MINI FUNKY DESIGN TAPES,2011-11,2011-12,M2_gbm_poisson,55.967204,62,107.666667,B,True,Forecast
10133,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,25.560982,0,69.000000,B,True,Forecast
10135,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,84.757657,181,106.666667,A,True,Forecast
11001,ASSTD DESIGN RACING CAR PEN,2011-11,2011-12,M2_gbm_poisson,111.232502,128,113.333333,A,True,Forecast
15030,FAN BLACK FRAME,2011-11,2011-12,M2_gbm_poisson,38.047590,22,11.666667,C,True,Forecast
15034,PAPER POCKET TRAVELING FAN,2011-11,2011-12,M2_gbm_poisson,300.065731,573,919.333333,C,True,Forecast
15036,ASSORTED COLOURS SILK FAN,2011-11,2011-12,M2_gbm_poisson,456.260613,604,782.000000,A,True,Forecast
15039,SANDALWOOD FAN,2011-11,2011-12,M2_gbm_poisson,113.022708,208,134.333333,B,True,Forecast
15044A,PINK PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,42.976700,34,23.000000,A,True,Forecast
15044B,BLUE PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,5.393778,0,2.000000,A,True,Forecast
15044C,PURPLE PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,30.771120,16,17.666667,B,True,Forecast
15044D,RED PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,47.072061,24,67.333333,A,True,Forecast
15056BL,EDWARDIAN PARASOL BLACK,2011-11,2011-12,M2_gbm_poisson,153.230411,176,333.000000,A,True,Forecast
15056N,EDWARDIAN PARASOL NATURAL,2011-11,2011-12,M2_gbm_poisson,159.335581,169,271.666667,A,True,Forecast
15056P,EDWARDIAN PARASOL PINK,2011-11,2011-12,M2_gbm_poisson,64.148554,88,62.000000,A,True,Forecast
