stock_code,quarter,model,forecast_sum,actual_sum,n_months,complete,months_included,estimate_type
10002,2010-Q2,B2_ma3,1079.333300,463.000000,1,False,2010-06,
10002,2010-Q2,M2_gbm_poisson,1014.787100,463.000000,1,False,2010-06,
10002R,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
10002R,2010-Q2,M2_gbm_poisson,2.542500,0.000000,1,False,2010-06,
10080,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
10080,2010-Q2,M2_gbm_poisson,2.906600,0.000000,1,False,2010-06,
10109,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
10109,2010-Q2,M2_gbm_poisson,2.926800,0.000000,1,False,2010-06,
10120,2010-Q2,B2_ma3,44.000000,30.000000,1,False,2010-06,
10120,2010-Q2,M2_gbm_poisson,72.383800,30.000000,1,False,2010-06,
10123C,2010-Q2,B2_ma3,28.333300,2.000000,1,False,2010-06,
10123C,2010-Q2,M2_gbm_poisson,52.212800,2.000000,1,False,2010-06,
10123G,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
10123G,2010-Q2,M2_gbm_poisson,2.294500,0.000000,1,False,2010-06,
10124A,2010-Q2,B2_ma3,1.333300,3.000000,1,False,2010-06,
10124A,2010-Q2,M2_gbm_poisson,30.466300,3.000000,1,False,2010-06,
10124G,2010-Q2,B2_ma3,0.666700,3.000000,1,False,2010-06,
10124G,2010-Q2,M2_gbm_poisson,18.248700,3.000000,1,False,2010-06,
10125,2010-Q2,B2_ma3,50.000000,64.000000,1,False,2010-06,
10125,2010-Q2,M2_gbm_poisson,27.939600,64.000000,1,False,2010-06,
10133,2010-Q2,B2_ma3,57.333300,30.000000,1,False,2010-06,
10133,2010-Q2,M2_gbm_poisson,78.946800,30.000000,1,False,2010-06,
10134,2010-Q2,B2_ma3,31.000000,17.000000,1,False,2010-06,
10134,2010-Q2,M2_gbm_poisson,28.909700,17.000000,1,False,2010-06,
10135,2010-Q2,B2_ma3,101.333300,73.000000,1,False,2010-06,
10135,2010-Q2,M2_gbm_poisson,96.359300,73.000000,1,False,2010-06,
10138,2010-Q2,B2_ma3,11.333300,0.000000,1,False,2010-06,
10138,2010-Q2,M2_gbm_poisson,14.294500,0.000000,1,False,2010-06,
11001,2010-Q2,B2_ma3,278.333300,204.000000,1,False,2010-06,
11001,2010-Q2,M2_gbm_poisson,182.862100,204.000000,1,False,2010-06,
15030,2010-Q2,B2_ma3,6.666700,10.000000,1,False,2010-06,
15030,2010-Q2,M2_gbm_poisson,16.773900,10.000000,1,False,2010-06,
15034,2010-Q2,B2_ma3,195.333300,845.000000,1,False,2010-06,
15034,2010-Q2,M2_gbm_poisson,249.966700,845.000000,1,False,2010-06,
15036,2010-Q2,B2_ma3,1972.333300,4265.000000,1,False,2010-06,
15036,2010-Q2,M2_gbm_poisson,1517.546300,4265.000000,1,False,2010-06,
15039,2010-Q2,B2_ma3,97.666700,401.000000,1,False,2010-06,
15039,2010-Q2,M2_gbm_poisson,105.580100,401.000000,1,False,2010-06,
15044A,2010-Q2,B2_ma3,165.666700,3686.000000,1,False,2010-06,
15044A,2010-Q2,M2_gbm_poisson,91.572100,3686.000000,1,False,2010-06,
15044B,2010-Q2,B2_ma3,117.000000,720.000000,1,False,2010-06,
15044B,2010-Q2,M2_gbm_poisson,91.362200,720.000000,1,False,2010-06,
15044C,2010-Q2,B2_ma3,79.333300,126.000000,1,False,2010-06,
15044C,2010-Q2,M2_gbm_poisson,79.009300,126.000000,1,False,2010-06,
15044D,2010-Q2,B2_ma3,110.333300,170.000000,1,False,2010-06,
15044D,2010-Q2,M2_gbm_poisson,92.249000,170.000000,1,False,2010-06,
15056BL,2010-Q2,B2_ma3,158.666700,207.000000,1,False,2010-06,
15056BL,2010-Q2,M2_gbm_poisson,109.065800,207.000000,1,False,2010-06,
15056N,2010-Q2,B2_ma3,484.333300,664.000000,1,False,2010-06,
15056N,2010-Q2,M2_gbm_poisson,367.607700,664.000000,1,False,2010-06,
15056P,2010-Q2,B2_ma3,58.666700,116.000000,1,False,2010-06,
15056P,2010-Q2,M2_gbm_poisson,110.159700,116.000000,1,False,2010-06,
15058A,2010-Q2,B2_ma3,57.333300,79.000000,1,False,2010-06,
15058A,2010-Q2,M2_gbm_poisson,70.633000,79.000000,1,False,2010-06,
15058B,2010-Q2,B2_ma3,47.666700,41.000000,1,False,2010-06,
15058B,2010-Q2,M2_gbm_poisson,60.756900,41.000000,1,False,2010-06,
15058C,2010-Q2,B2_ma3,27.333300,95.000000,1,False,2010-06,
15058C,2010-Q2,M2_gbm_poisson,38.593100,95.000000,1,False,2010-06,
15059A,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
15059A,2010-Q2,M2_gbm_poisson,3.408500,0.000000,1,False,2010-06,
15060B,2010-Q2,B2_ma3,87.000000,44.000000,1,False,2010-06,
15060B,2010-Q2,M2_gbm_poisson,67.635500,44.000000,1,False,2010-06,
16008,2010-Q2,B2_ma3,12.000000,0.000000,1,False,2010-06,
16008,2010-Q2,M2_gbm_poisson,27.947700,0.000000,1,False,2010-06,
16010,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
16010,2010-Q2,M2_gbm_poisson,2.580400,0.000000,1,False,2010-06,
16011,2010-Q2,B2_ma3,141.000000,192.000000,1,False,2010-06,
16011,2010-Q2,M2_gbm_poisson,163.143600,192.000000,1,False,2010-06,
16012,2010-Q2,B2_ma3,32.000000,24.000000,1,False,2010-06,
16012,2010-Q2,M2_gbm_poisson,55.046600,24.000000,1,False,2010-06,
16014,2010-Q2,B2_ma3,376.666700,4005.000000,1,False,2010-06,
16014,2010-Q2,M2_gbm_poisson,14.621400,4005.000000,1,False,2010-06,
16015,2010-Q2,B2_ma3,40.666700,120.000000,1,False,2010-06,
16015,2010-Q2,M2_gbm_poisson,28.679700,120.000000,1,False,2010-06,
16016,2010-Q2,B2_ma3,115.333300,60.000000,1,False,2010-06,
16016,2010-Q2,M2_gbm_poisson,41.573400,60.000000,1,False,2010-06,
16020C,2010-Q2,B2_ma3,6.666700,4.000000,1,False,2010-06,
16020C,2010-Q2,M2_gbm_poisson,14.987800,4.000000,1,False,2010-06,
16033,2010-Q2,B2_ma3,2200.000000,720.000000,1,False,2010-06,
