invoice,stock_code,description,quantity,price,customer_identified,month
581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2.0800,True,2011-12
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.0400,True,2011-01
497946,37410,BLACK AND WHITE PAISLEY FLOWER MUG,19152,0.1000,True,2010-02
501534,21091,SET/6 WOODLAND PAPER PLATES,12960,0.1000,True,2010-03
501534,21099,SET/6 STRAWBERRY PAPER CUPS,12960,0.1000,True,2010-03
501534,21085,SET/6 WOODLAND PAPER CUPS,12744,0.1000,True,2010-03
501534,21092,SET/6 STRAWBERRY PAPER PLATES,12480,0.1000,True,2010-03
502269,21980,PACK OF 12 RED RETROSPOT TISSUES,10000,0.2500,True,2010-03
502269,21981,PACK OF 12 WOODLAND TISSUES,10000,0.2500,True,2010-03
502269,21982,PACK OF 12 SUKI TISSUES,10000,0.2500,True,2010-03
502269,21984,PACK OF 12 PINK PAISLEY TISSUES,10000,0.2500,True,2010-03
498152,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,9456,0.3000,True,2010-02
530715,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9360,1.6900,True,2010-11
495194,20993,JAZZ HEARTS MEMO PAD,9312,0.1000,True,2010-01
518505,21088,SET/6 FRUIT SALAD PAPER CUPS,7128,0.0800,True,2010-08
521315,17003,BROCADE RING PURSE,7128,0.1900,True,2010-09
524174,21088,SET/6 FRUIT SALAD PAPER CUPS,7128,0.0800,True,2010-09
518505,21096,SET/6 FRUIT SALAD  PAPER PLATES,7008,0.1300,True,2010-08
524174,21096,SET/6 FRUIT SALAD  PAPER PLATES,7008,0.1300,True,2010-09
495194,20991,JAZZ HEARTS MAGNETIC MEMO PAD,6768,0.1000,True,2010-01
497946,47503E,ASS FLORAL PRINT SCISSORS,6696,0.1500,True,2010-02
530715,17003,BROCADE RING PURSE,6336,0.1900,True,2010-11
495194,16044,POP-ART FLUORESCENT PENS,6144,0.0600,True,2010-01
495194,37410,BLACK AND WHITE PAISLEY FLOWER MUG,6012,0.1000,True,2010-01
501534,37351,ORANGE FLOWER MUG,5364,0.1000,True,2010-03
495194,20756,GREEN FERN POCKET BOOK,5280,0.1000,True,2010-01
495194,20759,CHRYSANTHEMUM POCKET BOOK,5280,0.1000,True,2010-01
490018,21967,PACK OF 12 SKULL TISSUES,5184,0.2500,True,2009-12
518505,16047,POP ART PEN CASE & PENS,5184,0.0800,True,2010-08
524174,16047,POP ART PEN CASE & PENS,5184,0.0800,True,2010-09
