month,units,revenue,invoices,is_partial
2009-12,425218,797901.1600,1666,False
2010-01,390412,612297.4200,1049,False
2010-02,381620,537909.6700,1189,False
2010-03,525042,761705.9800,1647,False
2010-04,366065,646340.9300,1435,False
2010-05,395438,643492.0300,1484,False
2010-06,406238,696583.1900,1612,False
2010-07,337556,632994.3200,1507,False
2010-08,471931,674037.7200,1402,False
2010-09,583366,869243.1200,1789,False
2010-10,619506,1094421.2300,2244,False
2010-11,724263,1429700.7800,2719,False
2010-12,357529,775638.3600,1550,False
2011-01,386738,670380.2400,1081,False
2011-02,282627,507799.8700,1093,False
2011-03,376182,689833.5100,1440,False
2011-04,307650,515377.9900,1235,False
2011-05,394653,739953.0000,1668,False
2011-06,388124,737558.9800,1525,False
2011-07,399290,688219.3400,1452,False
2011-08,420695,724216.5000,1339,False
2011-09,568700,1028320.3800,1818,False
2011-10,619597,1103314.2500,2005,False
2011-11,746952,1452115.9800,2751,False
2011-12,312647,614490.9200,816,True
