stock_code,selling_months,first_month,last_month,span_months,units
10002,17,2009-12,2011-04,17,8671
10002R,2,2009-12,2010-01,2,4
10080,11,2009-12,2011-11,24,315
10109,1,2009-12,2009-12,1,4
10120,21,2009-12,2011-12,25,664
10123C,14,2009-12,2011-03,16,650
10123G,6,2009-12,2010-11,12,2251
10124A,12,2010-03,2011-11,21,58
10124G,9,2010-05,2011-11,19,33
10125,23,2009-12,2011-12,25,2103
10133,22,2009-12,2011-09,22,3837
10134,12,2009-12,2010-11,12,625
10135,25,2009-12,2011-12,25,4226
10138,5,2009-12,2010-04,5,261
11001,25,2009-12,2011-12,25,4829
15030,17,2009-12,2011-12,25,254
15034,25,2009-12,2011-12,25,10153
15036,25,2009-12,2011-12,25,44272
15039,25,2009-12,2011-12,25,5101
15044A,25,2009-12,2011-12,25,4964
15044B,21,2009-12,2011-09,22,1670
15044C,25,2009-12,2011-12,25,967
15044D,25,2009-12,2011-12,25,1596
15056BL,25,2009-12,2011-12,25,9620
15056N,25,2009-12,2011-12,25,11459
15056P,25,2009-12,2011-12,25,2519
15058A,18,2010-01,2011-11,23,476
15058B,20,2010-01,2011-11,23,438
15058C,20,2010-01,2011-12,24,470
15059A,1,2009-12,2009-12,1,509
15060B,24,2009-12,2011-11,24,1419
16008,17,2010-03,2011-12,22,3141
16010,4,2010-01,2011-03,15,32
16011,24,2009-12,2011-12,25,3812
16012,22,2009-12,2011-12,25,2901
16014,24,2009-12,2011-12,25,29355
16015,21,2009-12,2011-11,24,1572
16016,25,2009-12,2011-12,25,2314
16020C,14,2009-12,2011-07,20,160
16033,15,2009-12,2011-02,15,15121
16043,9,2009-12,2011-06,19,2145
16044,2,2010-01,2010-02,2,6193
16045,14,2010-01,2011-12,24,9312
16046,22,2009-12,2011-11,24,10056
16047,10,2009-12,2010-10,11,10612
16048,25,2009-12,2011-12,25,3461
16049,11,2009-12,2011-05,18,3169
16050,3,2010-02,2010-04,3,151
16051,3,2009-12,2010-06,7,941
16052,15,2009-12,2011-06,19,848
16053,8,2010-01,2010-11,11,4313
16054,12,2010-01,2011-12,24,1210
16119,1,2009-12,2009-12,1,273
16151A,3,2010-04,2011-05,14,52
16156L,19,2010-01,2011-12,24,950
16156N,7,2009-12,2010-06,7,1475
16156S,25,2009-12,2011-12,25,16661
16161C,1,2009-12,2009-12,1,450
16161E,3,2009-12,2010-02,3,750
16161G,17,2010-01,2011-11,23,975
16161M,12,2009-12,2010-12,13,1050
16161P,24,2009-12,2011-12,25,13198
16161U,25,2009-12,2011-12,25,10026
16162L,13,2009-12,2011-09,22,8101
16162M,7,2010-06,2011-11,18,88
16168M,24,2009-12,2011-12,25,1686
16168S,3,2009-12,2010-02,3,1283
16169A,1,2010-04,2010-04,1,25
16169C,4,2009-12,2010-11,12,1350
16169D,1,2009-12,2009-12,1,250
16169E,6,2011-07,2011-12,6,4563
16169F,5,2009-12,2010-10,11,975
16169G,1,2009-12,2009-12,1,25
16169K,13,2009-12,2011-09,22,2075
16169M,21,2009-12,2011-12,25,2060
16169N,12,2009-12,2010-12,13,2025
16169P,13,2009-12,2010-12,13,1750
16192,1,2009-12,2009-12,1,3
16201A,6,2009-12,2010-09,10,101
16201B,1,2009-12,2009-12,1,34
16202A,11,2009-12,2011-04,17,662
16202B,12,2009-12,2011-04,17,1039
16202C,6,2009-12,2010-05,6,97
16202E,9,2009-12,2011-04,17,82
16206B,8,2010-01,2011-01,13,96
16207A,18,2009-12,2011-11,24,143
16207B,10,2009-12,2011-08,21,265
16212,11,2009-12,2010-11,12,366
16215,1,2009-12,2009-12,1,8
16216,23,2009-12,2011-12,25,4158
16218,23,2009-12,2011-12,25,4629
16219,22,2009-12,2011-12,25,3357
16225,24,2009-12,2011-12,25,1520
16235,25,2009-12,2011-12,25,5827
16236,25,2009-12,2011-12,25,2652
16237,25,2009-12,2011-12,25,10385
16238,25,2009-12,2011-12,25,2447
16239,4,2009-12,2010-03,4,347
16243B,4,2009-12,2010-03,4,212
16244A,4,2009-12,2010-03,4,186
16244B,8,2009-12,2011-05,18,345
16245A,5,2010-03,2010-07,5,11
16248B,8,2010-09,2011-10,14,81
16254,14,2010-01,2011-11,23,941
16256B,7,2009-12,2010-06,7,524
16256C,5,2009-12,2010-05,6,169
16258A,23,2009-12,2011-12,25,1063
16258B,1,2009-12,2009-12,1,1016
16259,20,2009-12,2011-11,24,5473
17001,10,2009-12,2011-02,15,1211
17003,25,2009-12,2011-12,25,70369
17007B,6,2009-12,2011-06,19,34
17011A,7,2009-12,2010-08,9,261
17011B,2,2010-05,2010-08,4,19
17011C,1,2009-12,2009-12,1,335
17011D,3,2009-12,2010-08,9,209
17011E,1,2009-12,2009-12,1,124
17011F,11,2009-12,2011-05,18,385
17012A,21,2009-12,2011-12,25,726
17012B,20,2009-12,2011-11,24,721
17012C,22,2010-02,2011-12,23,856
17012D,17,2010-03,2011-12,22,520
17012E,8,2009-12,2010-12,13,263
17012F,20,2010-03,2011-12,22,586
17013B,1,2009-12,2009-12,1,256
17013C,2,2009-12,2010-03,4,213
17013D,17,2009-12,2011-06,19,1068
17013F,5,2009-12,2010-08,9,62
17014A,11,2009-12,2011-06,19,276
17014C,1,2009-12,2009-12,1,97
