rank,stock_code,description,units,revenue,share
1,22423,REGENCY CAKESTAND 3 TIER,26029,324596.2000,0.0171
2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,93880,258783.2000,0.0136
3,85099B,JUMBO BAG RED RETROSPOT,96071,180454.0800,0.0095
4,47566,PARTY BUNTING,28064,147399.8000,0.0077
5,84879,ASSORTED COLOUR BIRD ORNAMENT,78752,127161.7500,0.0067
6,22086,PAPER CHAIN KIT 50'S CHRISTMAS,32996,110892.5300,0.0058
7,23166,MEDIUM CERAMIC TOP STORAGE JAR,77826,81448.2100,0.0043
8,79321,CHILLI LIGHTS,15379,77901.1400,0.0041
9,22386,JUMBO BAG PINK POLKADOT,38978,75398.3000,0.0040
10,22197,SMALL POPCORN HOLDER,82282,74096.4000,0.0039
11,20725,LUNCH BAG RED RETROSPOT,39920,70329.9400,0.0037
12,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,30518,68604.7200,0.0036
13,85099F,JUMBO BAG STRAWBERRY,36757,68424.5600,0.0036
14,48138,DOORMAT UNION FLAG,10002,66393.8200,0.0035
15,20685,DOORMAT RED RETROSPOT,9697,65761.4100,0.0035
16,21843,RED RETROSPOT CAKE STAND,6040,63781.9000,0.0034
17,22502,PICNIC BASKET WICKER SMALL,3766,60880.3000,0.0032
18,21931,JUMBO STORAGE BAG SUKI,28819,60693.1100,0.0032
19,21621,VINTAGE UNION JACK BUNTING,6868,60005.9100,0.0032
20,15056N,EDWARDIAN PARASOL NATURAL,11375,59632.0100,0.0031
