rank,stock_code,description,units,revenue,share
1,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,104772,24066.4400,0.0096
2,85099B,JUMBO BAG RED RETROSPOT,96071,180454.0800,0.0088
3,21212,PACK OF 72 RETROSPOT CAKE CASES,94425,51318.2800,0.0087
4,85123A,WHITE HANGING HEART T-LIGHT HOLDER,93880,258783.2000,0.0086
5,22197,SMALL POPCORN HOLDER,82282,74096.4000,0.0076
6,84879,ASSORTED COLOUR BIRD ORNAMENT,78752,127161.7500,0.0072
7,23166,MEDIUM CERAMIC TOP STORAGE JAR,77826,81448.2100,0.0072
8,17003,BROCADE RING PURSE,70072,14647.7100,0.0064
9,21977,PACK OF 60 PINK PAISLEY CAKE CASES,55827,27938.2000,0.0051
10,84991,60 TEATIME FAIRY CAKE CASES,53892,26955.9100,0.0050
11,15036,ASSORTED COLOURS SILK FAN,44203,32892.9600,0.0041
12,22492,MINI PAINT SET VINTAGE,43254,27623.8700,0.0040
13,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40275,25072.5700,0.0037
14,21213,PACK OF 72 SKULL CAKE CASES,40121,21307.0600,0.0037
15,20725,LUNCH BAG RED RETROSPOT,39920,70329.9400,0.0037
16,22178,VICTORIAN GLASS HANGING T-LIGHT,39091,50498.1600,0.0036
17,22386,JUMBO BAG PINK POLKADOT,38978,75398.3000,0.0036
18,22616,PACK OF 12 LONDON TISSUES,38524,12244.7900,0.0035
19,21232,STRAWBERRY CERAMIC TRINKET BOX,37427,48506.3700,0.0034
20,84568,GIRLS ALPHABET IRON ON PATCHES,36920,7727.3500,0.0034
