stock_code,panel_months,zero_months,units,zero_share
10002,24,7,8671,0.2917
10002R,24,22,4,0.9167
10080,24,13,315,0.5417
10109,24,23,4,0.9583
10120,24,4,658,0.1667
10123C,24,10,650,0.4167
10123G,24,18,2251,0.7500
10124A,21,9,58,0.4286
10124G,19,10,33,0.5263
10125,24,2,2077,0.0833
10133,24,2,3837,0.0833
10134,24,12,625,0.5000
10135,24,0,4157,0.0000
10138,24,19,261,0.7917
11001,24,0,4807,0.0000
15030,24,8,252,0.3333
15034,24,0,10151,0.0000
15036,24,0,44203,0.0000
15039,24,0,5054,0.0000
15044A,24,0,4961,0.0000
15044B,24,3,1670,0.1250
15044C,24,0,965,0.0000
15044D,24,0,1594,0.0000
15056BL,24,0,9543,0.0000
15056N,24,0,11375,0.0000
15056P,24,0,2499,0.0000
15058A,23,5,476,0.2174
15058B,23,3,438,0.1304
15058C,23,4,469,0.1739
15059A,24,23,509,0.9583
15060B,24,0,1419,0.0000
16008,21,5,2805,0.2381
16010,23,19,32,0.8261
16011,24,1,3787,0.0417
16012,24,3,2876,0.1250
16014,24,1,29285,0.0417
16015,24,3,1572,0.1250
16016,24,0,2234,0.0000
16020C,24,10,160,0.4167
16033,24,9,15121,0.3750
16043,24,15,2145,0.6250
16044,23,21,6193,0.9130
16045,23,10,9112,0.4348
16046,24,2,10056,0.0833
16047,24,14,10612,0.5833
16048,24,0,3459,0.0000
16049,24,13,3169,0.5417
16050,22,19,151,0.8636
16051,24,21,941,0.8750
16052,24,9,848,0.3750
16053,23,15,4313,0.6522
16054,23,12,1174,0.5217
16119,24,23,273,0.9583
16151A,20,17,52,0.8500
16156L,23,5,925,0.2174
16156N,24,17,1475,0.7083
16156S,24,0,16561,0.0000
16161C,24,23,450,0.9583
16161E,24,21,750,0.8750
16161G,23,6,975,0.2609
16161M,24,12,1050,0.5000
16161P,24,1,13048,0.0417
16161U,24,0,9976,0.0000
16162L,24,11,8101,0.4583
16162M,18,11,88,0.6111
16168M,24,1,1657,0.0417
16168S,24,21,1283,0.8750
16169A,20,19,25,0.9500
16169C,24,20,1350,0.8333
16169D,24,23,250,0.9583
16169E,5,0,4187,0.0000
16169F,24,19,975,0.7917
16169G,24,23,25,0.9583
16169K,24,11,2075,0.4583
16169M,24,4,2035,0.1667
16169N,24,12,2025,0.5000
16169P,24,11,1750,0.4583
16192,24,23,3,0.9583
16201A,24,18,101,0.7500
16201B,24,23,34,0.9583
16202A,24,13,662,0.5417
16202B,24,12,1039,0.5000
16202C,24,18,97,0.7500
16202E,24,15,82,0.6250
16206B,23,15,96,0.6522
16207A,24,6,143,0.2500
16207B,24,14,265,0.5833
16212,24,13,366,0.5417
16215,24,23,8,0.9583
16216,24,2,4048,0.0833
16218,24,2,4524,0.0833
16219,24,3,3335,0.1250
16225,24,1,1415,0.0417
16235,24,0,5771,0.0000
16236,24,0,2606,0.0000
16237,24,0,10162,0.0000
16238,24,0,2386,0.0000
16239,24,20,347,0.8333
16243B,24,20,212,0.8333
16244A,24,20,186,0.8333
16244B,24,16,345,0.6667
16245A,21,16,11,0.7619
16248B,15,7,81,0.4667
16254,23,9,941,0.3913
16256B,24,17,524,0.7083
16256C,24,19,169,0.7917
16258A,24,2,902,0.0833
16258B,24,23,1016,0.9583
16259,24,4,5473,0.1667
17001,24,14,1211,0.5833
17003,24,0,70072,0.0000
17007B,24,18,34,0.7500
17011A,24,17,261,0.7083
17011B,19,17,19,0.8947
17011C,24,23,335,0.9583
17011D,24,21,209,0.8750
17011E,24,23,124,0.9583
17011F,24,13,385,0.5417
17012A,24,4,721,0.1667
17012B,24,4,721,0.1667
17012C,22,1,836,0.0455
17012D,21,5,470,0.2381
17012E,24,16,263,0.6667
17012F,21,2,537,0.0952
17013B,24,23,256,0.9583
17013C,24,22,213,0.9167
17013D,24,7,1068,0.2917
17013F,24,19,62,0.7917
17014A,24,13,276,0.5417
17014C,24,23,97,0.9583
17014D,23,17,479,0.7391
17014E,19,15,95,0.7895
17014F,23,20,61,0.8696
17021,23,0,3684,0.0000
17027A,22,20,228,0.9091
17028J,11,10,6,0.9091
17033,24,14,3280,0.5833
17038,24,3,2556,0.1250
17039,24,15,3707,0.6250
17061,24,23,52,0.9583
17084A,22,9,442,0.4091
17084G,24,23,50,0.9583
17084J,24,9,456,0.3750
17084N,24,0,2738,0.0000
17084P,24,5,963,0.2083
17084R,24,3,10553,0.1250
17090A,24,8,173,0.3333
17090D,24,8,88,0.3333
17091A,24,6,2085,0.2500
17091B,24,14,276,0.5833
17091F,24,22,19,0.9167
17091J,24,0,3748,0.0000
17096,24,4,6240,0.1667
17107D,24,1,310,0.0417
17108D,24,20,355,0.8333
17109A,24,20,709,0.8333
17109B,24,20,4542,0.8333
17109C,24,20,3124,0.8333
17109D,24,10,1257,0.4167
17129C,24,19,86,0.7917
17129D,24,20,1125,0.8333
17129F,24,0,1579,0.0000
17136A,24,5,743,0.2083
17164B,24,10,1620,0.4167
17164D,24,20,1150,0.8333
17165B,24,13,810,0.5417
17165D,24,10,716,0.4167
17174,22,17,36,0.7727
17178,24,14,133,0.5833
17181,24,15,353,0.6250
17191A,24,16,31,0.6667
18007,24,5,11396,0.2083
18010,24,22,64,0.9167
18094C,24,1,433,0.0417
18096C,24,21,125,0.8750
18097A,21,14,17,0.6667
18097B,24,22,7,0.9167
18097C,24,0,1761,0.0000
18098A,24,23,2,0.9583
18098B,24,22,3,0.9167
18098C,24,4,1515,0.1667
20615,24,0,635,0.0000
20616,24,0,282,0.0000
20617,24,2,497,0.0833
20618,24,1,296,0.0417
20619,24,0,574,0.0000
20620,24,21,15,0.8750
20621,24,14,207,0.5833
20622,24,0,580,0.0000
20652,24,0,1514,0.0000
20653,24,3,2003,0.1250
20654,24,0,395,0.0000
20655,24,1,413,0.0417
20657,24,0,1877,0.0000
20658,24,2,1584,0.0833
20659,24,1,355,0.0417
20660,24,17,71,0.7083
20661,24,5,897,0.2083
20662,24,7,728,0.2917
20663,24,5,1074,0.2083
20664,24,12,57,0.5000
20665,24,0,1329,0.0000
20666,24,9,911,0.3750
20667,24,14,40,0.5833
20668,24,0,19477,0.0000
20669,24,2,790,0.0833
20670,24,5,694,0.2083
20671,24,11,786,0.4583
20672,24,20,138,0.8333
20673,24,23,5,0.9583
20674,24,0,3374,0.0000
20675,24,0,6426,0.0000
20676,24,0,10373,0.0000
20677,24,0,7630,0.0000
20678,3,2,4,0.6667
20679,24,0,6102,0.0000
20680,24,22,6,0.9167
20681,24,8,1405,0.3333
20682,24,0,2974,0.0000
20683,24,23,1,0.9583
20684,24,4,580,0.1667
20685,24,0,9697,0.0000
20686,24,0,588,0.0000
20688,24,21,464,0.8750
20689,24,16,429,0.6667
20692,24,15,908,0.6250
20693,24,20,33,0.8333
20694,24,4,166,0.1667
20695,24,8,142,0.3333
20696,24,3,151,0.1250
20697,24,11,40,0.4583
20698,23,11,47,0.4783
20699,24,5,293,0.2083
20700,24,4,420,0.1667
20701,24,15,353,0.6250
20702,24,2,782,0.0833
20703,24,11,471,0.4583
20704,24,2,325,0.0833
20705,24,2,260,0.0833
20707,24,0,1612,0.0000
20711,24,0,12642,0.0000
20712,24,0,17554,0.0000
20713,24,2,20302,0.0833
20714,24,22,1580,0.9167
20715,23,22,400,0.9565
20716,24,5,1533,0.2083
20717,24,0,6278,0.0000
20718,24,0,13030,0.0000
20719,24,0,23960,0.0000
20721,24,23,1,0.9583
20723,24,0,17939,0.0000
20724,24,0,31350,0.0000
20725,24,0,39920,0.0000
20726,24,0,21922,0.0000
20727,24,0,26365,0.0000
20728,24,0,24476,0.0000
20729,24,17,5262,0.7083
20730,24,15,2218,0.6250
20731,24,6,4142,0.2500
20733,24,1,1901,0.0417
20734,24,7,1592,0.2917
20735,24,1,1509,0.0417
20736,24,20,290,0.8333
20737,24,23,1,0.9583
20738,24,12,1610,0.5000
20739,24,23,1,0.9583
20747,24,18,683,0.7500
20748,24,1,1600,0.0417
20749,24,0,2913,0.0000
20750,24,0,3640,0.0000
20751,24,0,2838,0.0000
20752,24,0,1500,0.0000
20753,24,22,218,0.9167
20754,24,0,5094,0.0000
20755,24,4,5133,0.1667
20756,24,8,5728,0.3333
20757,24,2,5347,0.0833
20758,24,1,5418,0.0417
20759,24,2,5776,0.0833
20760,24,4,5550,0.1667
20761,24,0,455,0.0000
20762,24,1,457,0.0417
20763,24,2,266,0.0833
20764,24,0,678,0.0000
20765,24,0,441,0.0000
20766,24,0,516,0.0000
20767,24,0,803,0.0000
20768,24,0,759,0.0000
20769,24,4,431,0.1667
20770,24,0,1045,0.0000
20771,24,2,604,0.0833
20772,24,1,966,0.0417
20773,24,2,3339,0.0833
20774,24,1,3484,0.0417
20775,24,3,3601,0.1250
20776,24,14,3258,0.5833
20777,24,1,3646,0.0417
20778,24,8,3611,0.3333
20780,24,6,229,0.2500
20781,24,3,100,0.1250
20782,24,6,149,0.2500
20783,24,16,165,0.6667
20784,24,16,101,0.6667
20785,23,9,102,0.3913
20786,23,14,99,0.6087
20787,23,15,69,0.6522
20791,23,22,5,0.9565
20793,24,10,281,0.4167
20794,23,2,206,0.0870
20795,24,10,128,0.4167
20796,24,9,99,0.3750
20798,24,10,551,0.4167
20799,24,18,200,0.7500
