rank,invoice,stock_code,description,quantity,price,line_revenue,customer_identified,country,invoice_date,month
1,581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2.0800,168469.6000,True,United Kingdom,2011-12-09 09:15:00,2011-12
2,541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.0400,77183.6000,True,United Kingdom,2011-01-18 10:01:00,2011-01
3,497946,37410,BLACK AND WHITE PAISLEY FLOWER MUG,19152,0.1000,1915.2000,True,Denmark,2010-02-15 11:57:00,2010-02
4,501534,21091,SET/6 WOODLAND PAPER PLATES,12960,0.1000,1296.0000,True,Denmark,2010-03-17 13:09:00,2010-03
5,501534,21099,SET/6 STRAWBERRY PAPER CUPS,12960,0.1000,1296.0000,True,Denmark,2010-03-17 13:09:00,2010-03
6,501534,21085,SET/6 WOODLAND PAPER CUPS,12744,0.1000,1274.4000,True,Denmark,2010-03-17 13:09:00,2010-03
7,501534,21092,SET/6 STRAWBERRY PAPER PLATES,12480,0.1000,1248.0000,True,Denmark,2010-03-17 13:09:00,2010-03
8,502269,21980,PACK OF 12 RED RETROSPOT TISSUES,10000,0.2500,2500.0000,True,United Kingdom,2010-03-23 15:36:00,2010-03
9,502269,21981,PACK OF 12 WOODLAND TISSUES,10000,0.2500,2500.0000,True,United Kingdom,2010-03-23 15:36:00,2010-03
10,502269,21982,PACK OF 12 SUKI TISSUES,10000,0.2500,2500.0000,True,United Kingdom,2010-03-23 15:36:00,2010-03
11,502269,21984,PACK OF 12 PINK PAISLEY TISSUES,10000,0.2500,2500.0000,True,United Kingdom,2010-03-23 15:36:00,2010-03
12,498152,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,9456,0.3000,2836.8000,True,Denmark,2010-02-17 10:51:00,2010-02
13,530715,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9360,1.6900,15818.4000,True,United Kingdom,2010-11-04 11:36:00,2010-11
14,495194,20993,JAZZ HEARTS MEMO PAD,9312,0.1000,931.2000,True,Denmark,2010-01-21 15:11:00,2010-01
15,518505,21088,SET/6 FRUIT SALAD PAPER CUPS,7128,0.0800,570.2400,True,France,2010-08-09 13:10:00,2010-08
16,521315,17003,BROCADE RING PURSE,7128,0.1900,1354.3200,True,United Kingdom,2010-09-03 12:01:00,2010-09
17,524174,21088,SET/6 FRUIT SALAD PAPER CUPS,7128,0.0800,570.2400,True,United Kingdom,2010-09-27 16:30:00,2010-09
18,518505,21096,SET/6 FRUIT SALAD  PAPER PLATES,7008,0.1300,911.0400,True,France,2010-08-09 13:10:00,2010-08
19,524174,21096,SET/6 FRUIT SALAD  PAPER PLATES,7008,0.1300,911.0400,True,United Kingdom,2010-09-27 16:30:00,2010-09
20,495194,20991,JAZZ HEARTS MAGNETIC MEMO PAD,6768,0.1000,676.8000,True,Denmark,2010-01-21 15:11:00,2010-01
