rank,month,stock_code,description,units_sold,gross_revenue,max_line_qty,invoice_count,is_partial_month
1,2011-12,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6000,80995,1,True
2,2011-01,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,77183.6000,74215,1,False
3,2010-02,37410,BLACK AND WHITE PAISLEY FLOWER MUG,19249,2022.5300,19152,5,False
4,2011-11,23084,RABBIT NIGHT LIGHT,14913,34478.4000,2040,487,False
5,2010-09,17003,BROCADE RING PURSE,13931,2640.1100,7128,23,False
6,2010-03,21091,SET/6 WOODLAND PAPER PLATES,13119,1425.5700,12960,14,False
7,2010-03,21085,SET/6 WOODLAND PAPER CUPS,13071,1468.1000,12744,17,False
8,2010-03,21099,SET/6 STRAWBERRY PAPER CUPS,13009,1327.8500,12960,8,False
9,2010-03,21092,SET/6 STRAWBERRY PAPER PLATES,12506,1271.7200,12480,5,False
10,2011-11,22197,SMALL POPCORN HOLDER,12452,14188.8000,1820,244,False
11,2010-11,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,12437,25690.5400,9360,110,False
12,2010-02,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,11960,6467.6000,9456,2,False
13,2010-03,21982,PACK OF 12 SUKI TISSUES,11806,3183.0800,10000,31,False
14,2010-03,21981,PACK OF 12 WOODLAND TISSUES,11576,2935.2600,10000,27,False
15,2010-03,21984,PACK OF 12 PINK PAISLEY TISSUES,11336,3098.4800,10000,18,False
16,2010-03,21980,PACK OF 12 RED RETROSPOT TISSUES,10799,2740.8500,10000,31,False
17,2010-11,17003,BROCADE RING PURSE,10643,2024.1700,6336,37,False
18,2011-04,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,10239,2290.8900,1728,41,False
19,2010-11,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,9557,2084.9900,4320,77,False
20,2010-01,20993,JAZZ HEARTS MEMO PAD,9500,996.7700,9312,12,False
