rank,country,rows,row_share,units,units_share,revenue,revenue_share,customers
1,United Kingdom,923567,0.9205,9176169,0.8202,16801004.6200,0.8553,5334
2,Netherlands,4981,0.0050,383625,0.0343,549773.4100,0.0280,22
3,EIRE,16913,0.0169,336088,0.0300,623414.1600,0.0317,3
4,France,13160,0.0131,270582,0.0242,311090.2900,0.0158,93
5,Denmark,756,0.0008,237406,0.0212,67422.6900,0.0034,12
6,Germany,15787,0.0157,223088,0.0199,383289.0000,0.0195,107
7,Australia,1783,0.0018,103753,0.0093,167800.0100,0.0085,15
8,Sweden,1285,0.0013,88537,0.0079,86319.1400,0.0044,19
9,Switzerland,3068,0.0031,52612,0.0047,94024.5900,0.0048,22
10,Spain,3560,0.0035,49996,0.0045,97766.7500,0.0050,38
