month,sales_rows,sold_units,cancellation_rows,returned_units,cancellation_invoices,returned_units_share,cancellation_row_share,is_partial
2009-12,43320,425218,1015,10018,401,0.0236,0.0229,False
2010-01,30176,390412,686,3880,300,0.0099,0.0222,False
2010-02,27811,381620,576,6954,240,0.0182,0.0203,False
2010-03,39609,525042,844,4494,407,0.0086,0.0209,False
2010-04,32665,366065,626,6483,304,0.0177,0.0188,False
2010-05,33226,395438,983,16614,407,0.0420,0.0287,False
2010-06,38211,406238,793,15494,357,0.0381,0.0203,False
2010-07,31943,337556,734,6185,344,0.0183,0.0225,False
2010-08,31953,471931,573,6702,273,0.0142,0.0176,False
2010-09,40414,583366,812,95320,371,0.1634,0.0197,False
2010-10,56704,619506,1041,11529,476,0.0186,0.0180,False
2010-11,74769,724263,1194,17718,576,0.0245,0.0157,False
2010-12,40826,357529,1057,28071,326,0.0785,0.0252,False
2011-01,33902,386738,701,79845,260,0.2065,0.0203,False
2011-02,26741,282627,475,2871,219,0.0102,0.0175,False
2011-03,35301,376182,699,5395,318,0.0143,0.0194,False
2011-04,28742,307650,559,13645,240,0.0444,0.0191,False
2011-05,35732,394653,621,5868,314,0.0149,0.0171,False
2011-06,35512,388124,711,7362,329,0.0190,0.0196,False
2011-07,38193,399290,685,6028,270,0.0151,0.0176,False
2011-08,34107,420695,668,12346,278,0.0293,0.0192,False
2011-09,48695,568700,805,7429,333,0.0131,0.0163,False
2011-10,58306,619597,1200,24541,362,0.0396,0.0202,False
2011-11,81727,746952,1076,12621,441,0.0169,0.0130,False
2011-12,24753,312647,360,83581,146,0.2673,0.0143,True
