rank,stock_code,description,returned_units,sold_units,returned_to_sold_ratio,in_panel
1,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,80995,1.0,True
2,23166,MEDIUM CERAMIC TOP STORAGE JAR,74494,78033,0.9546473927697257,True
3,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,18750,31409,0.5969626540163647,True
4,21088,SET/6 FRUIT SALAD PAPER CUPS,7140,16615,0.4297321697261511,True
5,21096,SET/6 FRUIT SALAD  PAPER PLATES,7008,15919,0.44022865757899365,True
6,M,,5452,0,,False
7,16047,POP ART PEN CASE & PENS,5184,10612,0.4885035808518658,True
8,85110,BLACK SILVER FLOWER T-LIGHT HOLDER,5040,11520,0.4375,True
9,37340,MULTICOLOUR SPRING FLOWER MUG,4996,13665,0.3656055616538602,True
10,16046,TEATIME PEN CASE & PENS,4632,10056,0.4606205250596659,True
11,85160A,WHITE BIRD GARDEN DESIGN MUG,4320,8824,0.48957388939256574,True
12,85184D,S/4 BLUE ROUND DECOUPAGE BOXES,3940,8312,0.47401347449470643,True
13,20971,PINK BLUE FELT CRAFT TRINKET BOX,3867,22260,0.17371967654986523,True
14,16162L,THE KING GIFT BAG,3744,8101,0.46216516479446984,True
15,21392,RED SPOTTY PUDDING BOWL,3650,7545,0.48376408217362493,True
16,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3638,94719,0.03840834468269302,True
17,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3159,12962,0.24371239006326184,True
18,21082,SET/20 FRUIT SALAD PAPER NAPKINS,3074,7183,0.4279548934985382,True
19,D,,3068,0,,False
20,85160B,BLACK BIRD GARDEN DESIGN MUG,2981,6156,0.48424301494476935,True
