month,rows,zero_rows,zero_share,products,units,partial_rows,is_partial
2009-12,3009,0,0.0000,3009,425218,0,False
2010-01,3248,578,0.1780,3248,390412,0,False
2010-02,3350,803,0.2397,3350,381620,0,False
2010-03,3555,704,0.1980,3555,525042,0,False
2010-04,3599,1034,0.2873,3599,366065,0,False
2010-05,3670,1134,0.3090,3670,395438,0,False
2010-06,3721,1065,0.2862,3721,406238,0,False
2010-07,3780,1229,0.3251,3780,337556,0,False
2010-08,3819,1183,0.3098,3819,471931,0,False
2010-09,3912,1244,0.3180,3912,583366,0,False
2010-10,4014,1229,0.3062,4014,619506,0,False
2010-11,4071,1121,0.2754,4071,724263,0,False
2010-12,4088,1366,0.3341,4088,357529,0,False
2011-01,4096,1569,0.3831,4096,386738,0,False
2011-02,4118,1772,0.4303,4118,282627,0,False
2011-03,4158,1707,0.4105,4158,376182,0,False
2011-04,4214,1804,0.4281,4214,307650,0,False
2011-05,4290,1882,0.4387,4290,394653,0,False
2011-06,4400,1822,0.4141,4400,388124,0,False
2011-07,4428,1795,0.4054,4428,399290,0,False
2011-08,4465,1913,0.4284,4465,420695,0,False
2011-09,4579,1887,0.4121,4579,568700,0,False
2011-10,4688,1890,0.4032,4688,619597,0,False
2011-11,4722,1832,0.3880,4722,746952,0,False
2011-12,4723,2290,0.4849,4723,312647,4723,True
