model,scope,quarter,wmape,bias,mae,rmse,n_rows,sum_actual,sum_forecast,negative_share
B2_ma3,overall,all,0.442763,0.029852,166.241302,562.075993,16306,6122313.000000,6305076.971000,0.000000
B2_ma3,quarter,2010-Q3,0.438817,-0.093314,167.517513,627.786979,3350,1278856.000000,1159520.331500,0.000000
B2_ma3,quarter,2010-Q4,0.413584,0.005184,204.806144,691.151818,3310,1639106.000000,1647602.991400,0.000000
B2_ma3,quarter,2011-Q1,0.693069,0.428559,195.981476,571.981959,3329,941353.000000,1344778.659000,0.000000
B2_ma3,quarter,2011-Q2,0.369209,0.043627,114.110436,497.740457,3127,966453.000000,1008616.326200,0.000000
B2_ma3,quarter,2011-Q3,0.356635,-0.117224,144.950785,347.977159,3190,1296545.000000,1144558.662900,0.000000
M2_gbm_poisson,overall,all,0.405977,0.072030,152.429490,470.466599,16306,6122313.000000,6563301.250600,0.000000
M2_gbm_poisson,quarter,2010-Q3,0.468425,-0.121156,178.820318,705.070249,3350,1278856.000000,1123915.289300,0.000000
M2_gbm_poisson,quarter,2010-Q4,0.419572,0.273867,207.771065,560.513621,3310,1639106.000000,2088003.193800,0.000000
M2_gbm_poisson,quarter,2011-Q1,0.491118,0.172051,138.875118,334.382917,3329,941353.000000,1103313.526000,0.000000
M2_gbm_poisson,quarter,2011-Q2,0.339393,0.042590,104.895173,277.288510,3127,966453.000000,1007614.605800,0.000000
M2_gbm_poisson,quarter,2011-Q3,0.315008,-0.043261,128.032132,302.140053,3190,1296545.000000,1240454.635700,0.000000
