model,target_month,n_products,share_product,share_abc_group,share_global,median_sigma,share_zero_mad
B1_last_month,2011-06,3284,0.931790,0.068210,0.000000,22.609650,0.043544
B1_last_month,2011-07,3289,0.904530,0.095470,0.000000,20.756400,0.048039
B1_last_month,2011-08,3310,0.898187,0.101813,0.000000,19.273800,0.050151
B1_last_month,2011-09,3324,0.894705,0.105295,0.000000,18.161850,0.050241
B1_last_month,2011-10,3373,0.875185,0.124815,0.000000,17.791200,0.046250
B1_last_month,2011-11,3388,0.859799,0.140201,0.000000,17.791200,0.042798
B2_ma3,2011-06,3284,0.931790,0.068210,0.000000,28.169400,0.002436
B2_ma3,2011-07,3289,0.904530,0.095470,0.000000,25.698351,0.003040
B2_ma3,2011-08,3310,0.898187,0.101813,0.000000,23.968675,0.005136
B2_ma3,2011-09,3324,0.894705,0.105295,0.000000,22.733299,0.005716
B2_ma3,2011-10,3373,0.875185,0.124815,0.000000,21.744849,0.003558
B2_ma3,2011-11,3388,0.859799,0.140201,0.000000,21.250551,0.003542
B3_seasonal_naive,2011-06,3284,0.655603,0.344397,0.000000,25.204200,0.021315
B3_seasonal_naive,2011-07,3289,0.676193,0.323807,0.000000,23.721600,0.028580
B3_seasonal_naive,2011-08,3310,0.690030,0.309970,0.000000,22.980300,0.021752
B3_seasonal_naive,2011-09,3324,0.732250,0.267750,0.000000,22.239000,0.032190
B3_seasonal_naive,2011-10,3373,0.715980,0.284020,0.000000,20.756400,0.027868
B3_seasonal_naive,2011-11,3388,0.702774,0.297226,0.000000,19.273800,0.025974
M1_linear,2011-06,3284,0.931790,0.068210,0.000000,37.136758,0.007917
M1_linear,2011-07,3289,0.904530,0.095470,0.000000,35.225242,0.004561
M1_linear,2011-08,3310,0.898187,0.101813,0.000000,33.450644,0.004834
M1_linear,2011-09,3324,0.894705,0.105295,0.000000,33.240189,0.003610
M1_linear,2011-10,3373,0.875185,0.124815,0.000000,32.256039,0.003261
M1_linear,2011-11,3388,0.859799,0.140201,0.000000,31.499839,0.003542
M2_gbm_poisson,2011-06,3284,0.931790,0.068210,0.000000,26.988287,0.000000
M2_gbm_poisson,2011-07,3289,0.904530,0.095470,0.000000,24.519239,0.000000
M2_gbm_poisson,2011-08,3310,0.898187,0.101813,0.000000,23.292980,0.000000
M2_gbm_poisson,2011-09,3324,0.894705,0.105295,0.000000,23.216182,0.000000
M2_gbm_poisson,2011-10,3373,0.875185,0.124815,0.000000,21.970946,0.000000
M2_gbm_poisson,2011-11,3388,0.859799,0.140201,0.000000,22.263092,0.000000
M3_gbm_squared,2011-06,3284,0.931790,0.068210,0.000000,26.375936,0.000000
M3_gbm_squared,2011-07,3289,0.904530,0.095470,0.000000,24.385063,0.000000
M3_gbm_squared,2011-08,3310,0.898187,0.101813,0.000000,23.201800,0.000000
M3_gbm_squared,2011-09,3324,0.894705,0.105295,0.000000,23.287124,0.000000
M3_gbm_squared,2011-10,3373,0.875185,0.124815,0.000000,22.030843,0.000000
M3_gbm_squared,2011-11,3388,0.859799,0.140201,0.000000,21.697258,0.000000
M4_gbm_absolute,2011-06,3284,0.931790,0.068210,0.000000,21.034573,0.000000
M4_gbm_absolute,2011-07,3289,0.904530,0.095470,0.000000,19.088327,0.000000
M4_gbm_absolute,2011-08,3310,0.898187,0.101813,0.000000,17.869259,0.000000
M4_gbm_absolute,2011-09,3324,0.894705,0.105295,0.000000,17.414397,0.000301
M4_gbm_absolute,2011-10,3373,0.875185,0.124815,0.000000,16.456267,0.000593
M4_gbm_absolute,2011-11,3388,0.859799,0.140201,0.000000,16.569834,0.000885
