model,learning_rate,max_leaf_nodes,max_iter,wmape,bias,n_rows
M2_gbm_poisson,0.030000,15,100,0.742988,0.145238,17031
M2_gbm_poisson,0.030000,15,200,0.708056,0.118325,17031
M2_gbm_poisson,0.030000,15,400,0.711137,0.118892,17031
M2_gbm_poisson,0.030000,31,100,0.746176,0.146995,17031
M2_gbm_poisson,0.030000,31,200,0.705421,0.105519,17031
M2_gbm_poisson,0.030000,31,400,0.708400,0.098456,17031
M2_gbm_poisson,0.030000,63,100,0.748743,0.133685,17031
M2_gbm_poisson,0.030000,63,200,0.715882,0.098940,17031
M2_gbm_poisson,0.030000,63,400,0.719816,0.091311,17031
M2_gbm_poisson,0.050000,15,100,0.717140,0.116613,17031
M2_gbm_poisson,0.050000,15,200,0.714044,0.118937,17031
M2_gbm_poisson,0.050000,15,400,0.724457,0.120892,17031
M2_gbm_poisson,0.050000,31,100,0.724577,0.123399,17031
M2_gbm_poisson,0.050000,31,200,0.721922,0.118469,17031
M2_gbm_poisson,0.050000,31,400,0.725708,0.109523,17031
M2_gbm_poisson,0.050000,63,100,0.727172,0.102371,17031
M2_gbm_poisson,0.050000,63,200,0.721383,0.095699,17031
M2_gbm_poisson,0.050000,63,400,0.721895,0.079269,17031
M2_gbm_poisson,0.100000,15,100,0.714800,0.107246,17031
M2_gbm_poisson,0.100000,15,200,0.729742,0.123144,17031
M2_gbm_poisson,0.100000,15,400,0.739272,0.126415,17031
M2_gbm_poisson,0.100000,31,100,0.750251,0.139230,17031
M2_gbm_poisson,0.100000,31,200,0.757551,0.138860,17031
M2_gbm_poisson,0.100000,31,400,0.758453,0.124505,17031
M2_gbm_poisson,0.100000,63,100,0.720334,0.086257,17031
M2_gbm_poisson,0.100000,63,200,0.723352,0.077417,17031
M2_gbm_poisson,0.100000,63,400,0.718899,0.047717,17031
M3_gbm_squared,0.030000,15,100,0.786075,0.194622,17031
M3_gbm_squared,0.030000,15,200,0.759362,0.174196,17031
M3_gbm_squared,0.030000,15,400,0.781261,0.197850,17031
M3_gbm_squared,0.030000,31,100,0.798161,0.203940,17031
M3_gbm_squared,0.030000,31,200,0.788207,0.195690,17031
M3_gbm_squared,0.030000,31,400,0.830662,0.241498,17031
M3_gbm_squared,0.030000,63,100,0.804299,0.196170,17031
M3_gbm_squared,0.030000,63,200,0.809423,0.205695,17031
M3_gbm_squared,0.030000,63,400,0.852078,0.241522,17031
M3_gbm_squared,0.050000,15,100,0.760273,0.173131,17031
M3_gbm_squared,0.050000,15,200,0.773767,0.191532,17031
M3_gbm_squared,0.050000,15,400,0.806384,0.218786,17031
M3_gbm_squared,0.050000,31,100,0.778141,0.182190,17031
M3_gbm_squared,0.050000,31,200,0.820479,0.228138,17031
M3_gbm_squared,0.050000,31,400,0.864804,0.273056,17031
M3_gbm_squared,0.050000,63,100,0.792651,0.186180,17031
M3_gbm_squared,0.050000,63,200,0.827251,0.223717,17031
M3_gbm_squared,0.050000,63,400,0.866687,0.254075,17031
M3_gbm_squared,0.100000,15,100,0.778350,0.201633,17031
M3_gbm_squared,0.100000,15,200,0.802000,0.225379,17031
M3_gbm_squared,0.100000,15,400,0.849243,0.264451,17031
M3_gbm_squared,0.100000,31,100,0.818845,0.225690,17031
M3_gbm_squared,0.100000,31,200,0.858408,0.253691,17031
M3_gbm_squared,0.100000,31,400,0.899915,0.283941,17031
M3_gbm_squared,0.100000,63,100,0.836632,0.218247,17031
M3_gbm_squared,0.100000,63,200,0.885170,0.255067,17031
M3_gbm_squared,0.100000,63,400,0.941069,0.302099,17031
M4_gbm_absolute,0.030000,15,100,0.617417,-0.239826,17031
M4_gbm_absolute,0.030000,15,200,0.611776,-0.190264,17031
M4_gbm_absolute,0.030000,15,400,0.611906,-0.189082,17031
M4_gbm_absolute,0.030000,31,100,0.614101,-0.238038,17031
M4_gbm_absolute,0.030000,31,200,0.617566,-0.192665,17031
M4_gbm_absolute,0.030000,31,400,0.617710,-0.189871,17031
M4_gbm_absolute,0.030000,63,100,0.613694,-0.224926,17031
M4_gbm_absolute,0.030000,63,200,0.620711,-0.176797,17031
M4_gbm_absolute,0.030000,63,400,0.621920,-0.173503,17031
M4_gbm_absolute,0.050000,15,100,0.611580,-0.199233,17031
M4_gbm_absolute,0.050000,15,200,0.612054,-0.194791,17031
M4_gbm_absolute,0.050000,15,400,0.612046,-0.194864,17031
M4_gbm_absolute,0.050000,31,100,0.613757,-0.197562,17031
M4_gbm_absolute,0.050000,31,200,0.615660,-0.187090,17031
M4_gbm_absolute,0.050000,31,400,0.615844,-0.186414,17031
M4_gbm_absolute,0.050000,63,100,0.620431,-0.186541,17031
M4_gbm_absolute,0.050000,63,200,0.623103,-0.176754,17031
M4_gbm_absolute,0.050000,63,400,0.626734,-0.162970,17031
M4_gbm_absolute,0.100000,15,100,0.616215,-0.178443,17031
M4_gbm_absolute,0.100000,15,200,0.615840,-0.177874,17031
M4_gbm_absolute,0.100000,15,400,0.615710,-0.177805,17031
M4_gbm_absolute,0.100000,31,100,0.619201,-0.180894,17031
M4_gbm_absolute,0.100000,31,200,0.619068,-0.180633,17031
M4_gbm_absolute,0.100000,31,400,0.619066,-0.180655,17031
M4_gbm_absolute,0.100000,63,100,0.624477,-0.169137,17031
M4_gbm_absolute,0.100000,63,200,0.625385,-0.165464,17031
M4_gbm_absolute,0.100000,63,400,0.625385,-0.165465,17031
